Id|DriverId|UserId|Departure|Destination|Price|Rate|DepLatitude|DepLongitude|DesLatitude|DesLongitude|TripsStatus|PlateNo|CancelUser|CreateDate|UpdateDate|payType|tripStarted
4560|37|86|Atakent, Ferhat Sk. No:5, 41275 Baþiskele/Kocaeli, Türkiye|Atakent, Zübeyde Haným Cd. No:70, 41275 Baþiskele/Kocaeli, Türkiye|12,00|5|40,706463|29,888748|40,707416|29,891744|True|41T4007|False|2020-08-26 16:18:05.553000000|2020-08-26 16:22:04.500000000|1|True
4566|38|92|Uzunbey, Unnamed Road, Kocaeli, Türkiye|Uzunçiftlik Hürriyet, Anadolu Otoyolu No:81, 41250 Kartepe/Kocaeli, Türkiye|35,00|5|40,769119|30,038770|40,762381|30,027804|True|41T1213|False|2020-08-26 16:53:10.587000000|2020-08-26 17:01:56.707000000|1|True
4567|41|132|Uzunbey, Unnamed Road, 41180 Kartepe/Kocaeli, Türkiye|Ulus, Þamdan Sk. 2 D, 41250 Kartepe/Kocaeli, Türkiye|48,00|5|40,766675|30,039328|40,755303|30,029673|True|41T4103 |False|2020-08-26 16:54:02.230000000|2020-08-26 16:58:02.230000000|1|True
4568|46|133|Uzunbey, Bayraktar Yolu Sk. No:75, 41180 Kartepe/Kocaeli, Türkiye|Ertuðrul Gazi, Ertuðrul Gazi Parký, Mareþal Fevzi Çakmak Cd., 41250 Kartepe/Kocaeli, Türkiye|30,00|5|40,771190|30,057486|40,757681|30,027498|True|41T4085 |False|2020-08-26 16:54:53.857000000|2020-08-26 17:03:12.257000000|1|True
4569|47|134|Uzunbey, Unnamed Road, 41310 Kocaeli, Türkiye|Cumhuriyet, Bereket Sk. No:2, 41250 Kartepe/Kocaeli, Türkiye|20,00|5|40,770943|30,039975|40,762805|30,024599|True|41T4032 |False|2020-08-26 16:55:23.700000000|2020-08-26 17:06:45.210000000|1|True
4570|48|135|Alikahya Atatürk, Unnamed Road, 41310 Ýzmit/Kocaeli, Türkiye|Uzunçiftlik Hürriyet, Altýndað Cd. No:39, 41250 Kartepe/Kocaeli, Türkiye|30,00|5|40,785023|30,035924|40,760519|30,031817|True|41T4011 |False|2020-08-26 16:55:48.950000000|2020-08-26 17:08:46.533000000|1|True
4571|49|136|Atatürk OSB, Uzundere Sk No:26, 41310 Ýzmit/Kocaeli, Türkiye|Ulus, Seyhan Sk. No:12, 41250 Kartepe/Kocaeli, Türkiye|28,00|5|40,781143|30,047038|40,755838|30,028639|True|41T4061 |False|2020-08-26 16:58:40.707000000|2020-08-26 17:11:12.827000000|1|True
4572|50|138|Atatürk OSB, Turnaoðlu Cd. No:283, 41310 Ýzmit/Kocaeli, Türkiye|Uzunçiftlik Hürriyet, Anadolu Otoyolu No:81, 41250 Kartepe/Kocaeli, Türkiye|24,00|5|40,781001|30,051808|40,762519|30,028061|True|41T4027 |False|2020-08-26 17:01:19.677000000|2020-08-26 17:14:05.250000000|1|True
4573|51|139|Uzunçiftlik Hürriyet, Mareþal Fevzi Çakmak Cd. No:49, 41250 Kartepe/Kocaeli, Türkiye|Uzunbey, Çengel Cd. No:119, 41180 Kartepe/Kocaeli, Türkiye|28,00|5|40,757621|30,026395|40,772524|30,051790|True|41T4108 |False|2020-08-26 17:03:10.540000000|2020-08-26 17:18:03.237000000|1|True
4574|52|140|Ulus, Tuðra Sk. No:26, 41250 Kartepe/Kocaeli, Türkiye|Uzunbey, Unnamed Road, 41180 Kartepe/Kocaeli, Türkiye|12,00|5|40,756947|30,026508|40,766123|30,034562|True|41T4058 |False|2020-08-26 17:03:44.307000000|2020-08-26 17:17:12.810000000|1|True
4575|53|141|Ertuðrul Gazi, Ertuðrul Gazi Parký, Mareþal Fevzi Çakmak Cd., 41250 Kartepe/Kocaeli, Türkiye|Alikahya Atatürk, Unnamed Road, 41310 Ýzmit/Kocaeli, Türkiye|29,00|5|40,757020|30,027626|40,784609|30,038184|True|41T4057 |False|2020-08-26 17:04:11.180000000|2020-08-26 17:44:56.767000000|1|True
4576|54|142|Petrol, Barýþçý Sk. No:2, 41250 Kartepe/Kocaeli, Türkiye|Eseler, Çengel Cd., 41000 Ýzmit/Kocaeli, Türkiye|100,00|5|40,755519|30,031089|40,793173|30,048728|True|41T4024 |False|2020-08-26 17:05:27.653000000|2020-08-26 17:28:54.460000000|1|True
4577|57|143|Uzunçiftlik Hürriyet, Oðuz Sk. No:24, 41250 Kartepe/Kocaeli, Türkiye|Alikahya Atatürk, Unnamed Road, 41310 Ýzmit/Kocaeli, Türkiye|30,00|5|40,759728|30,031129|40,780840|30,037173|True|41T4022 |False|2020-08-26 17:06:25.277000000|2020-08-26 17:16:56.760000000|1|True
4578|58|144|Ulus, Tuðra Sk. No:26, 41250 Kartepe/Kocaeli, Türkiye|Pasadag Mh., Ulus Cd. No:117, 41190 Basiskele/Kocaeli, Türkiye|62,50|5|40,756635|30,026208|40,808738|30,039061|True|41T4080 |False|2020-08-26 17:07:04.967000000|2020-08-26 17:25:13.743000000|1|True
4579|61|147|Cumhuriyet, Güvenli Sk. No:18, 41250 Kartepe/Kocaeli, Türkiye|Bayraktar, Papatya Sk., 41000 Ýzmit/Kocaeli, Türkiye|25,00|5|40,761270|30,026846|40,778609|30,063832|True|41T4087 |False|2020-08-26 17:07:49.797000000|2020-08-26 17:23:41.163000000|1|True
